l_ukrainian:
 MIGRATION_COST:0 "Вартість міграції"
 OTHER_TRADE_FAVORS_FOR_MEN_SETUP:0 "When a Country asks a nation for Soldiers as a favor."
 OTHER_TRADE_FAVORS_FOR_MEN_HEADER:0 "Вісник держави"
 OTHER_TRADE_FAVORS_FOR_MEN_1:0 "$ACTOR$"
 OTHER_TRADE_FAVORS_FOR_MEN_2:0 "$MONARCHTITLE$, держава $ACTOR$"
 OTHER_TRADE_FAVORS_FOR_MEN_3:0 "Asked $RECIPIENT$ for $MONTHS$ months' supply ($MEN|Y$) of Soldiers"
 OTHER_TRADE_FAVORS_FOR_MEN_4:0 "in exchange for $FAVOR|Y$ Favors."
 OTHER_TRADE_FAVORS_FOR_MEN_6:0 "A sense of uncertainty of what happens next lingers..."
 OTHER_TRADE_FAVORS_FOR_MEN_LOG:0 "$ACTOR$ has asked $RECIPIENT$ for Soldiers as a favor."
 OTHER_TRADE_FAVORS_FOR_MEN_BTN1:0 "Гаразд"
 OTHER_TRADE_FAVORS_FOR_MEN_BTN2:0 "Гаразд"
 OTHER_TRADE_FAVORS_FOR_MEN_BTN3:0 "Перейти"
 TRADE_FAVORS_FOR_MEN_DECLINED_TITLE:0 "A request for Soldiers for Favors has been declined"
 TRADE_FAVORS_FOR_MEN_DECLINED_SETUP:0 "When a nation declines to give Soldiers to another nation in exchange for Favors."
 TRADE_FAVORS_FOR_MEN_DECLINED_HEADER:0 "Soldiers for Favors request declined"
 TRADE_FAVORS_FOR_MEN_DECLINED_1:0 "$RECIPIENT$"
 TRADE_FAVORS_FOR_MEN_DECLINED_2:0 "has refused a request for $MONTHS$ months' supply ($MEN|Y$) of Soldiers"
 TRADE_FAVORS_FOR_MEN_DECLINED_3:0 "in exchange for $FAVOR|Y$ Favors"
 TRADE_FAVORS_FOR_MEN_DECLINED_4:0 "From $ACTOR$."
 TRADE_FAVORS_FOR_MEN_DECLINED_6:0 "We will not forget this dishonor!"
 TRADE_FAVORS_FOR_MEN_DECLINED_LOG:0 "$RECIPIENT$ refused our request."
 TRADE_FAVORS_FOR_MEN_DECLINED_BTN1:0 "Сумно"
 TRADE_FAVORS_FOR_MEN_DECLINED_BTN2:0 "Сумно"
 TRADE_FAVORS_FOR_MEN_DECLINED_BTN3:0 "Перейти"
 TRADE_FAVORS_FOR_MEN_CANNOT_NO_MEN:0 "$COUNTRY$ do not have $MEN|Y$ Soldiers"
 TRADE_FAVORS_FOR_MEN_CANNOT_COST:0 "You need at least §Y$COST$§! Favors with §Y$COUNTRY$§! to ask them for Soldiers."
 TRADE_FAVORS_FOR_MEN_CANNOT_OPINION:0 "You need at least §Y$OPINION$§! Opinion with §Y$COUNTRY$§! to ask them for Soldiers."
 TRADE_FAVORS_FOR_MEN_DESC2:0 "Spend $FAVOR|Y$ Favors in exchange for $MONTHS$ months' supply ($MEN|Y$) of Soldiers."
 TRADE_FAVORS_FOR_MEN_DESC:0 "We will ask that $RECIPIENT|Y$ give us $MONTHS$ months' supply ($MEN|Y$) of Soldiers in exchange for $FAVOR|Y$ Favors."
 WE_TRADE_FAVORS_FOR_SAILORS_TITLE:0 "Trade Favors For Sailors"
 WE_TRADE_FAVORS_FOR_SAILORS_SETUP:0 "When we ask a country to give us some Sailors as a Favor."
 WE_TRADE_FAVORS_FOR_SAILORS_HEADER:0 "$MESSENGER$"
 WE_TRADE_FAVORS_FOR_SAILORS_1:0 "Traded Favors For Sailors"
 WE_TRADE_FAVORS_FOR_SAILORS_2:0 "$MONARCHTITLE$, we have asked the Country of $RECIPIENT$ to"
 WE_TRADE_FAVORS_FOR_SAILORS_3:0 "give us $MONTHS$ months' supply ($SAILORS|Y$) of of Sailors"
 WE_TRADE_FAVORS_FOR_SAILORS_4:0 "in exchange for $FAVOR|Y$ Favors."
 WE_TRADE_FAVORS_FOR_SAILORS_LOG:0 "We have asked $RECIPIENT$ to give us Sailors as a favor."
 WE_TRADE_FAVORS_FOR_SAILORS_BTN1:0 "Гаразд"
 WE_TRADE_FAVORS_FOR_SAILORS_BTN2:0 "Гаразд"
 WE_TRADE_FAVORS_FOR_SAILORS_BTN3:0 "Перейти"
 TRADE_FAVORS_FOR_SAILORS_TITLE:0 "Trade Favors For Sailors"
 TRADE_FAVORS_FOR_SAILORS_SETUP:0 "When a Country asks us for Sailors as a favor."
 TRADE_FAVORS_FOR_SAILORS_HEADER:0 "Вісник держави"
 TRADE_FAVORS_FOR_SAILORS_1:0 "$ACTOR$"
 TRADE_FAVORS_FOR_SAILORS_2:0 "$MONARCHTITLE$, держава $ACTOR$"
 TRADE_FAVORS_FOR_SAILORS_3:0 "Asked us for $MONTHS$ months' supply ($SAILORS|Y$) of Sailors"
 TRADE_FAVORS_FOR_SAILORS_4:0 "in exchange for $FAVOR|Y$ Favors."
 TRADE_FAVORS_FOR_SAILORS_5:0 "We are happy to help our allies!"
 TRADE_FAVORS_FOR_SAILORS_LOG:0 "$ACTOR$ has asked us for Sailors as a favor."
 TRADE_FAVORS_FOR_SAILORS_BTN1:0 "Гаразд"
 TRADE_FAVORS_FOR_SAILORS_BTN2:0 "Гаразд"
 TRADE_FAVORS_FOR_SAILORS_BTN3:0 "Перейти"
 OTHER_TRADE_FAVORS_FOR_SAILORS_TITLE:0 "Trade Favors For Sailors"
 OTHER_TRADE_FAVORS_FOR_SAILORS_SETUP:0 "When a Country asks a nation for Sailors as a favor."
 OTHER_TRADE_FAVORS_FOR_SAILORS_HEADER:0 "Вісник держави"
 OTHER_TRADE_FAVORS_FOR_SAILORS_1:0 "$ACTOR$"
 OTHER_TRADE_FAVORS_FOR_SAILORS_2:0 "$MONARCHTITLE$, держава $ACTOR$"
 OTHER_TRADE_FAVORS_FOR_SAILORS_3:0 "Asked $RECIPIENT$ for $MONTHS$ months' supply ($SAILORS|Y$) of Sailors"
 OTHER_TRADE_FAVORS_FOR_SAILORS_4:0 "in exchange for $FAVOR|Y$ Favors."
 OTHER_TRADE_FAVORS_FOR_SAILORS_6:0 "A sense of uncertainty of what happens next lingers..."
 OTHER_TRADE_FAVORS_FOR_SAILORS_LOG:0 "$ACTOR$ has asked $RECIPIENT$ for Sailors as a favor."
 OTHER_TRADE_FAVORS_FOR_SAILORS_BTN1:0 "Гаразд"
 OTHER_TRADE_FAVORS_FOR_SAILORS_BTN2:0 "Гаразд"
 OTHER_TRADE_FAVORS_FOR_SAILORS_BTN3:0 "Перейти"
 TRADE_FAVORS_FOR_SAILORS_DECLINED_TITLE:0 "A request for Sailors for Favors has been declined"
 TRADE_FAVORS_FOR_SAILORS_DECLINED_SETUP:0 "When a nation declines to give Sailors to another nation in exchange for Favors."
 TRADE_FAVORS_FOR_SAILORS_DECLINED_HEADER:0 "Sailors for Favors request declined"
 TRADE_FAVORS_FOR_SAILORS_DECLINED_1:0 "$RECIPIENT$"
 TRADE_FAVORS_FOR_SAILORS_DECLINED_2:0 "has refused a request for $MONTHS$ months' supply ($SAILORS|Y$) of Sailors"
 TRADE_FAVORS_FOR_SAILORS_DECLINED_3:0 "in exchange for $FAVOR|Y$ Favors"
 TRADE_FAVORS_FOR_SAILORS_DECLINED_4:0 "From $ACTOR$."
 TRADE_FAVORS_FOR_SAILORS_DECLINED_6:0 "We will not forget this dishonor!"
 TRADE_FAVORS_FOR_SAILORS_DECLINED_LOG:0 "$RECIPIENT$ refused our request."
 TRADE_FAVORS_FOR_SAILORS_DECLINED_BTN1:0 "Сумно"
 TRADE_FAVORS_FOR_SAILORS_DECLINED_BTN2:0 "Сумно"
 TRADE_FAVORS_FOR_SAILORS_DECLINED_BTN3:0 "Перейти"
 TRADE_FAVORS_FOR_SAILORS_CANNOT_NO_SAILORS:0 "$COUNTRY$ do not have $SAILORS|Y$ Sailors"
 TRADE_FAVORS_FOR_SAILORS_CANNOT_NO_SAILORS_AT_ALL:0 "$COUNTRY$ do not have any sailors"
 TRADE_FAVORS_FOR_SAILORS_CANNOT_COST:0 "You need at least §Y$COST$§! Favors with §Y$COUNTRY$§! to ask them for Sailors."
 TRADE_FAVORS_FOR_SAILORS_CANNOT_OPINION:0 "You need at least §Y$OPINION$§! Opinion with §Y$COUNTRY$§! to ask them for Sailors."
 TRADE_FAVORS_FOR_SAILORS_DESC2:0 "Spend $FAVOR|Y$ Favors in exchange for $MONTHS$ months' supply ($SAILORS|Y$) of Sailors."
 TRADE_FAVORS_FOR_SAILORS_DESC:0 "We will ask that $RECIPIENT|Y$ give us $MONTHS$ months' supply ($SAILORS|Y$) of Sailors in exchange for $FAVOR|Y$ Favors."
 mechanic_free_concentrate_development_yes:0 "Can concentrate development with no losses."
 mechanic_free_concentrate_development_no:0 "Suffer development losses when concentrating development."
 WE_TRADE_FAVORS_FOR_HEIR_TITLE:0 "Request Relative as Heir"
 WE_TRADE_FAVORS_FOR_HEIR_SETUP:0 "When we ask a country to install our dynasty member as their heir as a Favor."
 WE_TRADE_FAVORS_FOR_HEIR_HEADER:0 "$MESSENGER$"
 WE_TRADE_FAVORS_FOR_HEIR_1:0 "Requested Relative as Heir"
 WE_TRADE_FAVORS_FOR_HEIR_2:0 "$MONARCHTITLE$, we have asked the Country of $RECIPIENT$ to"
 WE_TRADE_FAVORS_FOR_HEIR_3:0 "install a relative of our King as their rightful heir"
 WE_TRADE_FAVORS_FOR_HEIR_4:0 "in exchange for $FAVOR|Y$ Favors."
 WE_TRADE_FAVORS_FOR_HEIR_LOG:0 "We have asked $RECIPIENT$ to install our dynasty member as heir as a favor."
 WE_TRADE_FAVORS_FOR_HEIR_BTN1:0 "Гаразд"
 WE_TRADE_FAVORS_FOR_HEIR_BTN2:0 "Гаразд"
 WE_TRADE_FAVORS_FOR_HEIR_BTN3:0 "Перейти"
 TRADE_FAVORS_FOR_HEIR_TITLE:0 "Request Relative as Heir"
 TRADE_FAVORS_FOR_HEIR_SETUP:0 "When a Country asks us to install their dynasty member as heir as a favor."
 TRADE_FAVORS_FOR_HEIR_HEADER:0 "Вісник держави"
 TRADE_FAVORS_FOR_HEIR_1:0 "$ACTOR$"
 TRADE_FAVORS_FOR_HEIR_2:0 "$MONARCHTITLE$, держава $ACTOR$"
 TRADE_FAVORS_FOR_HEIR_3:0 "Asked us to install a relative of their King as our heir"
 TRADE_FAVORS_FOR_HEIR_4:0 "in exchange for $FAVOR|Y$ Favors."
 TRADE_FAVORS_FOR_HEIR_5:0 "We are happy to help our allies!"
 TRADE_FAVORS_FOR_HEIR_LOG:0 "$ACTOR$ has asked us to install their dynasty member as heir as a favor."
 TRADE_FAVORS_FOR_HEIR_BTN1:0 "Гаразд"
 TRADE_FAVORS_FOR_HEIR_BTN2:0 "Гаразд"
 TRADE_FAVORS_FOR_HEIR_BTN3:0 "Перейти"
 OTHER_TRADE_FAVORS_FOR_HEIR_TITLE:0 "Request Relative as Heir"
 OTHER_TRADE_FAVORS_FOR_HEIR_SETUP:0 "When a Country asks a nation to install their dynasty member as heir as a favor."
 OTHER_TRADE_FAVORS_FOR_HEIR_HEADER:0 "Вісник держави"
 OTHER_TRADE_FAVORS_FOR_HEIR_1:0 "$ACTOR$"
 OTHER_TRADE_FAVORS_FOR_HEIR_2:0 "$MONARCHTITLE$, держава $ACTOR$"
 OTHER_TRADE_FAVORS_FOR_HEIR_3:0 "Asked $RECIPIENT$ to install their dynasty member as their rightful heir"
 OTHER_TRADE_FAVORS_FOR_HEIR_4:0 "in exchange for $FAVOR|Y$ Favors."
 OTHER_TRADE_FAVORS_FOR_HEIR_6:0 "A sense of uncertainty of what happens next lingers..."
 OTHER_TRADE_FAVORS_FOR_HEIR_LOG:0 "$ACTOR$ has asked $RECIPIENT$ to install their dynasty member as heir as a favor."
 OTHER_TRADE_FAVORS_FOR_HEIR_BTN1:0 "Гаразд"
 OTHER_TRADE_FAVORS_FOR_HEIR_BTN2:0 "Гаразд"
 OTHER_TRADE_FAVORS_FOR_HEIR_BTN3:0 "Перейти"
 TRADE_FAVORS_FOR_HEIR_DECLINED_TITLE:0 "A request to install our dynasty member as heir for Favors has been declined"
 TRADE_FAVORS_FOR_HEIR_DECLINED_SETUP:0 "When a nation declines to install a dynasty member from another nation as heir in exchange for Favors."
 TRADE_FAVORS_FOR_HEIR_DECLINED_HEADER:0 "Heir for Favors request declined"
 TRADE_FAVORS_FOR_HEIR_DECLINED_1:0 "$RECIPIENT$"
 TRADE_FAVORS_FOR_HEIR_DECLINED_2:0 "has refused a request to install a dynasty member from $ACTOR$ as heir"
 TRADE_FAVORS_FOR_HEIR_DECLINED_3:0 "in exchange for $FAVOR|Y$ Favors"
 TRADE_FAVORS_FOR_HEIR_DECLINED_6:0 "We will not forget this dishonor!"
 TRADE_FAVORS_FOR_HEIR_DECLINED_LOG:0 "$RECIPIENT$ refused our request."
 TRADE_FAVORS_FOR_HEIR_DECLINED_BTN1:0 "Сумно"
 TRADE_FAVORS_FOR_HEIR_DECLINED_BTN2:0 "Сумно"
 TRADE_FAVORS_FOR_HEIR_DECLINED_BTN3:0 "Перейти"
 TRADE_FAVORS_FOR_HEIR_CANNOT_RELIGION:0 "§Y$COUNTRY$§! cannot have an heir from a different religious group."
 TRADE_FAVORS_FOR_HEIR_CANNOT_NON_MONARCHY:0 "§Y$COUNTRY$§! are not a Monarchy."
 TRADE_FAVORS_FOR_HEIR_CANNOT_REGENCY:0 "§Y$COUNTRY$§! have a regency council at the moment."
 TRADE_FAVORS_FOR_HEIR_CANNOT_ALREADY_HAVE_ONE:0 "§Y$COUNTRY$§! already have a valid heir."
 TRADE_FAVORS_FOR_HEIR_CANNOT_COST:0 "You need at least §Y$COST$§! Favors with §Y$COUNTRY$§! to ask them to install our dynasty member as their heir."
 TRADE_FAVORS_FOR_HEIR_CANNOT_OPINION:0 "You need at least §Y$OPINION$§! Opinion with §Y$COUNTRY$§! to install our dynasty member as their heir."
 TRADE_FAVORS_FOR_HEIR_DESC2:0 "Spend $FAVOR|Y$ Favors in exchange for installing a member of our dynasty as their heir."
 TRADE_FAVORS_FOR_HEIR_DESC:1 "We will ask $RECIPIENT|Y$ to install a member of our ruling dynasty as their heir in exchange for $FAVORS|Y$ Favors. This will create a truce between the countries and cause $AE|R$ Aggressive Expansion in countries of the same religion."
 X_IS_SUBJECT_OF_Y:0 "$COUNTRY|Y$ is a subject of $OVERLORD|Y$."
 DIPLOMACYACTION_CATEGORY_favors:0 "Favors"
 WE_TRADE_FAVORS_FOR_TRUST_TITLE:0 "Trade Favors For Trust"
 WE_TRADE_FAVORS_FOR_TRUST_SETUP:0 "When we ask a country to increase their trust in us as a Favor."
 WE_TRADE_FAVORS_FOR_TRUST_HEADER:0 "$MESSENGER$"
 WE_TRADE_FAVORS_FOR_TRUST_1:0 "Traded Favors For Trust"
 WE_TRADE_FAVORS_FOR_TRUST_2:0 "$MONARCHTITLE$, we have asked the Country of $RECIPIENT$ to"
 WE_TRADE_FAVORS_FOR_TRUST_3:0 "give us $TRUST|Y$ Trust"
 WE_TRADE_FAVORS_FOR_TRUST_4:0 "in exchange for $FAVOR|Y$ Favors."
 WE_TRADE_FAVORS_FOR_TRUST_LOG:0 "We have asked $RECIPIENT$ to give us Trust for Favors."
 WE_TRADE_FAVORS_FOR_TRUST_BTN1:0 "Гаразд"
 WE_TRADE_FAVORS_FOR_TRUST_BTN2:0 "Гаразд"
 WE_TRADE_FAVORS_FOR_TRUST_BTN3:0 "Перейти"
 TRADE_FAVORS_FOR_TRUST_TITLE:0 "Trade Favors For Trust"
 TRADE_FAVORS_FOR_TRUST_SETUP:0 "When a Country asks us for Trust in exchange for favors."
 TRADE_FAVORS_FOR_TRUST_HEADER:0 "Вісник держави"
 TRADE_FAVORS_FOR_TRUST_1:0 "$ACTOR$"
 TRADE_FAVORS_FOR_TRUST_2:0 "$MONARCHTITLE$, держава $ACTOR$"
 TRADE_FAVORS_FOR_TRUST_3:0 "Asked us for $TRUST|Y$ Trust"
 TRADE_FAVORS_FOR_TRUST_4:0 "in exchange for $FAVOR|Y$ Favors."
 TRADE_FAVORS_FOR_TRUST_5:0 "We are happy to help our allies!"
 TRADE_FAVORS_FOR_TRUST_LOG:0 "$ACTOR$ has asked us for Trust as a favor."
 TRADE_FAVORS_FOR_TRUST_BTN1:0 "Гаразд"
 TRADE_FAVORS_FOR_TRUST_BTN2:0 "Гаразд"
 TRADE_FAVORS_FOR_TRUST_BTN3:0 "Перейти"
 OTHER_TRADE_FAVORS_FOR_TRUST_TITLE:0 "Trade Favors For Trust"
 OTHER_TRADE_FAVORS_FOR_TRUST_SETUP:0 "When a Country asks a nation for Trust as a favor."
 OTHER_TRADE_FAVORS_FOR_TRUST_HEADER:0 "Вісник держави"
 OTHER_TRADE_FAVORS_FOR_TRUST_1:0 "$ACTOR$"
 OTHER_TRADE_FAVORS_FOR_TRUST_2:0 "$MONARCHTITLE$, держава $ACTOR$"
 OTHER_TRADE_FAVORS_FOR_TRUST_3:0 "Asked $RECIPIENT$ for $TRUST|Y$ Trust"
 OTHER_TRADE_FAVORS_FOR_TRUST_4:0 "in exchange for $FAVOR|Y$ Favors."
 OTHER_TRADE_FAVORS_FOR_TRUST_6:0 "A sense of uncertainty of what happens next lingers..."
 OTHER_TRADE_FAVORS_FOR_TRUST_LOG:0 "$ACTOR$ has asked $RECIPIENT$ for Trust as a favor."
 OTHER_TRADE_FAVORS_FOR_TRUST_BTN1:0 "Гаразд"
 OTHER_TRADE_FAVORS_FOR_TRUST_BTN2:0 "Гаразд"
 OTHER_TRADE_FAVORS_FOR_TRUST_BTN3:0 "Перейти"
 TRADE_FAVORS_FOR_TRUST_DECLINED_TITLE:0 "A request for Trust for Favors has been declined"
 TRADE_FAVORS_FOR_TRUST_DECLINED_SETUP:0 "When a nation declines to increase Trust in another nation in exchange for Favors."
 TRADE_FAVORS_FOR_TRUST_DECLINED_HEADER:0 "Trust for Favors request declined"
 TRADE_FAVORS_FOR_TRUST_DECLINED_1:0 "$RECIPIENT$"
 TRADE_FAVORS_FOR_TRUST_DECLINED_2:0 "has refused a request for $TRUST|Y$ Trust"
 TRADE_FAVORS_FOR_TRUST_DECLINED_3:0 "in exchange for $FAVOR|Y$ Favors"
 TRADE_FAVORS_FOR_TRUST_DECLINED_4:0 "From $ACTOR$."
 TRADE_FAVORS_FOR_TRUST_DECLINED_6:0 "We will not forget this dishonor!"
 TRADE_FAVORS_FOR_TRUST_DECLINED_LOG:0 "$RECIPIENT$ refused our request."
 TRADE_FAVORS_FOR_TRUST_DECLINED_BTN1:0 "Сумно"
 TRADE_FAVORS_FOR_TRUST_DECLINED_BTN2:0 "Сумно"
 TRADE_FAVORS_FOR_TRUST_DECLINED_BTN3:0 "Перейти"
 TRADE_FAVORS_FOR_TRUST_CANNOT_COST:0 "You need at least §Y$COST$§! Favors with §Y$COUNTRY$§! to ask them for Trust."
 TRADE_FAVORS_FOR_TRUST_CANNOT_ALREADY_MAX:0 "You already have the full trust of §Y$COUNTRY$§!."
 TRADE_FAVORS_FOR_TRUST_CANNOT_OPINION:0 "You need at least §Y$OPINION$§! Opinion with §Y$COUNTRY$§! to ask them for Trust."
 TRADE_FAVORS_FOR_TRUST_DESC2:0 "Spend $FAVOR|Y$ Favors in exchange for $TRUST|Y$ Trust."
 TRADE_FAVORS_FOR_TRUST_DESC:0 "We will ask that $RECIPIENT|Y$ give us $TRUST|Y$ Trust in exchange for $FAVOR|Y$ Favors."
 WE_TRADE_FAVORS_FOR_WAR_PREP_TITLE:0 "Ask to prepare for War"
 WE_TRADE_FAVORS_FOR_WAR_PREP_SETUP:0 "When we ask a country to prepare for War as a Favor."
 WE_TRADE_FAVORS_FOR_WAR_PREP_HEADER:0 "$MESSENGER$"
 WE_TRADE_FAVORS_FOR_WAR_PREP_1:0 "Asked to prepare for War"
 WE_TRADE_FAVORS_FOR_WAR_PREP_2:0 "$MONARCHTITLE$, we have asked the Country of $RECIPIENT$ to"
 WE_TRADE_FAVORS_FOR_WAR_PREP_3:0 "prepare for War"
 WE_TRADE_FAVORS_FOR_WAR_PREP_4:0 "in exchange for $FAVOR|Y$ Favors."
 WE_TRADE_FAVORS_FOR_WAR_PREP_LOG:0 "We have asked $RECIPIENT$ to prepare for War as a favor."
 WE_TRADE_FAVORS_FOR_WAR_PREP_BTN1:0 "Гаразд"
 WE_TRADE_FAVORS_FOR_WAR_PREP_BTN2:0 "Гаразд"
 WE_TRADE_FAVORS_FOR_WAR_PREP_BTN3:0 "Перейти"
 TRADE_FAVORS_FOR_WAR_PREP_TITLE:0 "Ask to prepare for War"
 TRADE_FAVORS_FOR_WAR_PREP_SETUP:0 "When a Country asks us to prepare for War as a favor."
 TRADE_FAVORS_FOR_WAR_PREP_HEADER:0 "Вісник держави"
 TRADE_FAVORS_FOR_WAR_PREP_1:0 "$ACTOR$"
 TRADE_FAVORS_FOR_WAR_PREP_2:0 "$MONARCHTITLE$, держава $ACTOR$"
 TRADE_FAVORS_FOR_WAR_PREP_3:0 "Asked us to prepare for War"
 TRADE_FAVORS_FOR_WAR_PREP_4:0 "in exchange for $FAVOR|Y$ Favors."
 TRADE_FAVORS_FOR_WAR_PREP_5:0 "We are happy to help our allies!"
 TRADE_FAVORS_FOR_WAR_PREP_LOG:0 "$ACTOR$ has asked us to prepare for War as a favor."
 TRADE_FAVORS_FOR_WAR_PREP_BTN1:0 "Гаразд"
 TRADE_FAVORS_FOR_WAR_PREP_BTN2:0 "Гаразд"
 TRADE_FAVORS_FOR_WAR_PREP_BTN3:0 "Перейти"
 OTHER_TRADE_FAVORS_FOR_WAR_PREP_TITLE:0 "Ask to prepare for War"
 OTHER_TRADE_FAVORS_FOR_WAR_PREP_SETUP:0 "When a Country asks a nation to prepare for War as a favor."
 OTHER_TRADE_FAVORS_FOR_WAR_PREP_HEADER:0 "Вісник держави"
 OTHER_TRADE_FAVORS_FOR_WAR_PREP_1:0 "$ACTOR$"
 OTHER_TRADE_FAVORS_FOR_WAR_PREP_2:0 "$MONARCHTITLE$, держава $ACTOR$"
 OTHER_TRADE_FAVORS_FOR_WAR_PREP_3:0 "Asked $RECIPIENT$ to prepare for War"
 OTHER_TRADE_FAVORS_FOR_WAR_PREP_4:0 "in exchange for $FAVOR|Y$ Favors."
 OTHER_TRADE_FAVORS_FOR_WAR_PREP_6:0 "A sense of uncertainty of what happens next lingers..."
 OTHER_TRADE_FAVORS_FOR_WAR_PREP_LOG:0 "$ACTOR$ has asked $RECIPIENT$ to prepare for War as a favor."
 OTHER_TRADE_FAVORS_FOR_WAR_PREP_BTN1:0 "Гаразд"
 OTHER_TRADE_FAVORS_FOR_WAR_PREP_BTN2:0 "Гаразд"
 OTHER_TRADE_FAVORS_FOR_WAR_PREP_BTN3:0 "Перейти"
 TRADE_FAVORS_FOR_WAR_PREP_DECLINED_TITLE:0 "A request to prepare for War has been declined"
 TRADE_FAVORS_FOR_WAR_PREP_DECLINED_SETUP:0 "When a nation declines to prepare for War in exchange for Favors."
 TRADE_FAVORS_FOR_WAR_PREP_DECLINED_HEADER:0 "Prepare for War request declined"
 TRADE_FAVORS_FOR_WAR_PREP_DECLINED_1:0 "$RECIPIENT$"
 TRADE_FAVORS_FOR_WAR_PREP_DECLINED_2:0 "has refused a request to prepapre for War"
 TRADE_FAVORS_FOR_WAR_PREP_DECLINED_3:0 "in exchange for $FAVOR|Y$ Favors"
 TRADE_FAVORS_FOR_WAR_PREP_DECLINED_4:0 "From $ACTOR$."
 TRADE_FAVORS_FOR_WAR_PREP_DECLINED_6:0 "We will not forget this dishonor!"
 TRADE_FAVORS_FOR_WAR_PREP_DECLINED_LOG:0 "$RECIPIENT$ refused our request."
 TRADE_FAVORS_FOR_WAR_PREP_DECLINED_BTN1:0 "Сумно"
 TRADE_FAVORS_FOR_WAR_PREP_DECLINED_BTN2:0 "Сумно"
 TRADE_FAVORS_FOR_WAR_PREP_DECLINED_BTN3:0 "Перейти"
 TRADE_FAVORS_FOR_WAR_PREP_CANNOT_COST:0 "You need at least §Y$COST$§! Favors with §Y$COUNTRY$§! to ask them to prepare for War."
 TRADE_FAVORS_FOR_WAR_PREP_CANNOT_ALLIANCE:0 "You need an alliance with §Y$COUNTRY$§! to ask them to prepare for War."
 TRADE_FAVORS_FOR_WAR_PREP_CANNOT_ALREADY_PREPPING:0 "§Y$COUNTRY$§! are already preparing for War."
 TRADE_FAVORS_FOR_WAR_PREP_CANNOT_OPINION:0 "You need at least §Y$OPINION$§! Opinion with §Y$COUNTRY$§! to ask them to prepare for War."
 TRADE_FAVORS_FOR_WAR_PREP_DESC2:0 "Spend $FAVOR|Y$ Favorsto ask them to prepare for War."
 TRADE_FAVORS_FOR_WAR_PREP_DESC:0 "We will ask $RECIPIENT|Y$ to prepapre for War in exchange for $FAVOR|Y$ Favors."
 CALL_CHECKBOX_ALLY:0 "§RYou cannot declare a country you are allied with as a co-belligerent.§!"
 HAS_GREAT_PROJECT_OF_TYPE:0 "Has a $NAME|Y$"
 HAS_NOT_GREAT_PROJECT_OF_TYPE:0 "Does not have a $NAME|Y$"
 HAS_A_GREAT_PROJECT:0 "Has a §YGreat Project§!"
 HAS_NOT_A_GREAT_PROJECT:0 "Does not have a §YGreat Project§!"
 AT_TIER:0 "at §YTier $TIER$§!"
 COT_DOWNGRADE_NOT_OWNER:0 "§RYou cannot downgrade the Center of Trade of a province you do not own!§!"
 CANNOT_CONVERT_TO_PRIMITIVE:0 "You cannot force a nation to become Primitive."
 ANCESTORS:0 "Ancestors"
 PICK_ANCESTOR:0 "Pick an ancestor"
 NO_POTENTIAL_ANCESTOR:0 "You don't have any potential ancestors to choose from."
 PICK_ANCESTOR_DESC:0 "Adding a previous Monarch to our Ancestral Story costs Diplomatic power but can add useful effects to our nation."
 CLICK_TO_PICK_ANCESTOR:0 "Click to pick $WHO|Y$ as your ancestor."
 CANNOT_CARPET_SIEGE_NO_AVAILABLE_PROVINCES:0 "No available provinces to siege."
 SELECT_CARPET_AREA:0 "Click to select $AREA|Y$ for Carpet Sieging."
 CANNOT_PROVINCE_IS_BEING_PILLAGED:0 "$PROVINCE|Y$ is already being pillaged."
 MAY_BUILD_FLAGSHIPS:0 "May Build Flagships"
 MAY_BUILD_FLAGSHIPS_SHORT:0 "Build Flagships"
 FREE_MERCHANT_DESC:0 "Your Merchants can be used to divert trade from Trade Nodes where you have Trade Power in any direction you choose, or to collect revenue from your home Trade Node. You currently have idle Merchants, select a Trade Node and assign your Merchants to tasks there to take advantage of their skills."
 REGENCY_ENDING_DESC:0 "If your Heir is ready and has a good Claim, you should let him ascend to the throne when the Regency ends. If not, you can choose to extend the Regency by another five years through the Court interface.\nClick to view your Court.\n\nCurrent Claim Strength: $CLAIM$"
 CANNOT_CONVERT_NOT_RELIGION_OR_SECONDARY_RELIGION:0 "$NAME$ is not a §Y$RELIGION$§! or a §Y$SECONDARYRELIGION$§! province, so it is not possible to change culture. Send some missionaries first."
 NO_GARRISON:0 "There is no garrison here."
 PILLAGE_CAPITAL_CANNOT_NO_DEV:0 "Their capital is too poor to pillage."
 NO_FEDERATION_TEXT:0 "You are not a member of a Federation."
 NO_CURR_ESTATES_TT:0 "You do not currently have any estates."
 FEDERATION_ADVANCEMENT_TITLE:0 "New Federation Advancement"
 FEDERATION_ADVANCEMENT_SETUP:0 "When a federation you are in gains a new advancement."
 FEDERATION_ADVANCEMENT_HEADER:0 "New Federation Advancement"
 FEDERATION_ADVANCEMENT_1:0 "$WHO|Y$"
 FEDERATION_ADVANCEMENT_2:0 "has chosen to add the advancement"
 FEDERATION_ADVANCEMENT_3:0 "$ADVANCEMENT|Y$"
 FEDERATION_ADVANCEMENT_4:0 "to $FEDERATION|Y$."
 FEDERATION_ADVANCEMENT_6:0 "This is terrific news!"
 FEDERATION_ADVANCEMENT_LOG:0 "$WHO$ advanced their Federation."
